SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3,Var4
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278909,68,8.318571945860776e-05,0.8320235660249948,-0.07986437268803417,edit,8.37350769931719e-05,0.837350769931719,-0.07709257601642608,0,68,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278932,44,5.382605376733444e-05,0.5383681897808791,-0.268920608908083,edit,5.4181520407346524e-05,0.5418152040734653,-0.2661488122364749,0,44,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,278956,91,0.00011132206574607803,1.1134433015922724,0.046668106926823084,edit,0.00011205723538792122,1.1205723538792123,0.04943990359843124,0,91,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279335,88,0.00010765210753466888,1.0767363795617582,0.03210938675589819,edit,0.00010836304081469305,1.0836304081469306,0.03488118342750628,0,88,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279352,210,0.00025689707479864164,2.5694845421360135,0.40984600933964876,edit,0.00025859362012597205,2.5859362012597207,0.4126178060112569,0,210,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279436,20,2.4466388076061106e-05,0.2447128135367632,-0.6113432897302893,edit,2.4627963821521146e-05,0.24627963821521145,-0.6085714930586812,0,20,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279465,77,9.419559409283526e-05,0.9421443321165383,-0.025882560221788628,edit,9.481766071285641e-05,0.9481766071285641,-0.023110763550180536,0,77,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279533,156,0.00019083782699327664,1.908759945586753,0.2807513129601911,edit,0.00019209811780786495,1.9209811780786494,0.2835231096317992,0,156,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279546,68,8.318571945860776e-05,0.8320235660249948,-0.07986437268803417,edit,8.37350769931719e-05,0.837350769931719,-0.07709257601642608,0,68,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,279619,4,4.893277615212222e-06,0.048942562707352644,-1.310313294066308,edit,4.925592764304229e-06,0.04925592764304229,-1.3075414973947,0,4,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
