SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920653,SPB00001|1920653,True,0,3688.0633813815243,3372,0.0,0,3688.0633813815243,3372,0,3836,1.0,0.0,1.0,0.0,10505.061709755519,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920653,edit,0.0,4230.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,105,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920654,SPB00001|1920654,True,0,1762.8907066811535,1083,0.0,0,1762.8907066811535,1083,0,1198,1.0,0.0,1.0,0.0,7058.501092936277,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920654,edit,0.0,1825.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,595,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920655,SPB00001|1920655,True,0,3934.0,3934,0.0,0,3934.0,3934,0,4442,1.0,0.0,1.0,0.0,11243.557971740314,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920655,edit,0.0,4476.0,0.0,1.0,EGEWNotSpanned,0,0,0,6.0,6.0,0,170,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920656,SPB00001|1920656,True,0,3746.0,3746,0.0,0,3746.0,3746,0,4243,1.0,0.0,1.0,0.0,10505.061709755519,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920656,edit,0.0,4429.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,142,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920657,SPB00001|1920657,True,0,2793.367156192431,4547,0.0,0,2793.367156192431,4547,0,5145,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920657,edit,0.0,4875.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,206,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920658,SPB00001|1920658,True,0,3016.4566469216047,4181,0.0,0,3016.4566469216047,4181,0,4678,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920658,edit,0.0,4468.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,179,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920659,SPB00001|1920659,True,0,3931.9655563661267,3595,0.0,0,3931.9655563661267,3595,0,4066,1.0,0.0,1.0,0.0,10505.061709755519,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920659,edit,0.0,4392.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,109,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920660,SPB00001|1920660,True,0,3846.250785091074,3187,0.0,0,3846.250785091074,3187,0,3566,1.0,0.0,1.0,0.0,9520.371236870466,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920660,edit,0.0,4429.0,0.0,1.0,EGEWNotSpanned,0,0,0,1.0,1.0,0,105,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920661,SPB00001|1920661,True,0,2913.0,2913,0.0,0,2913.0,2913,0,3287,1.0,0.0,1.0,0.0,8371.524097154277,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920661,edit,0.0,4427.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,91,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920662,SPB00001|1920662,True,0,2375.0,2375,0.0,0,2375.0,2375,0,2667,1.0,0.0,1.0,0.0,7058.501092936277,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920662,edit,0.0,4383.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,68,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
