SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,276998,463,0.0001357521652177151,1.3577931565075865,0.13283361543096167,edit,0.00013658687397191088,1.365868739719109,0.13540896555728368,0,463,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277051,199,5.8347042933747956e-05,0.5835871234233471,-0.23389429917728485,edit,5.870580544365069e-05,0.5870580544365068,-0.23131894905096284,0,199,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277138,151,4.427338433666302e-05,0.44282239013530356,-0.35377042829382205,edit,4.45456111657852e-05,0.445456111657852,-0.3511950781675,0,151,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277265,265,7.769832350473975e-05,0.777138631694407,-0.10950150165018357,edit,7.817607257571573e-05,0.7817607257571574,-0.10692615152386162,0,265,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277298,459,0.0001345793603346247,1.3460627620669163,0.12906530995026982,edit,0.00013540685778208876,1.3540685778208876,0.13164066007659175,0,459,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277348,316,9.265158576414249e-05,0.9267011608129532,-0.033060292968587646,edit,9.322127899594783e-05,0.9322127899594782,-0.030484942842265668,0,316,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277509,218,6.391786612842741e-05,0.639306497016531,-0.19429088198238664,edit,6.431088234530577e-05,0.6431088234530578,-0.19171553185606466,0,218,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277524,271,7.945753082937536e-05,0.7947342233554124,-0.0997780847125857,edit,7.994609686044893e-05,0.7994609686044892,-0.09720273458626376,0,271,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277744,474,0.00013897737864621373,1.3900517412194298,0.1430309660870936,edit,0.00013983191849392175,1.3983191849392174,0.1456063162134156,0,474,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277794,175,5.131021363520549e-05,0.5132047567793253,-0.289709326900697,edit,5.162570830471794e-05,0.5162570830471794,-0.287133976774375,0,175,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277847,224,6.567707345306302e-05,0.6569020886775364,-0.18249935725282868,edit,6.608090663003897e-05,0.6608090663003896,-0.1799240071265067,0,224,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,277992,351,0.00010291362849118358,1.0293421121688182,0.0125597408788326,edit,0.00010354642065689141,1.0354642065689141,0.015135091005154616,0,351,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278313,253,7.417990885546851e-05,0.7419474483723961,-0.1296268544111735,edit,7.463602400624936e-05,0.7463602400624936,-0.1270515042848516,0,253,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278389,71,2.0817286674854798e-05,0.2082145013218977,-0.6814890268679162,edit,2.0945287369342708e-05,0.20945287369342708,-0.6789136767415942,0,71,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278662,650,0.00019058079350219183,1.9061890966089228,0.2801659810558641,edit,0.0001917526308460952,1.917526308460952,0.2827413311821861,0,650,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278727,623,0.00018266436054133154,1.827008934134398,0.2617406710721781,edit,0.00018378752156479586,1.8378752156479585,0.2643160211985001,0,623,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
GE00000887-AMD_D01,GE00000887-AMD_D01,SPB00001,278909,219,6.421106734920001e-05,0.6422390956266986,-0.19230326074687312,edit,6.460588639276131e-05,0.6460588639276131,-0.18972791062055108,0,219,0,Edit,PPV322,ODD179,INSC1003,SWIIN+Air
