SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34263,1075,0.00036172742173143943,0.3548546007185421,-0.44994955973557893,edit,0.00039260012672766883,0.3643329176032767,-0.4385015883309091,0,1075,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34862,2094,0.0007046113684703574,0.6912237524694206,-0.16038134664437959,edit,0.0007647485259234777,0.7096866320569873,-0.14893337523970968,0,2094,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34918,1788,0.000601645237261222,0.5902139777532588,-0.22899050952730426,edit,0.0006529944433386715,0.6059788434182871,-0.21754253812263438,0,1788,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34987,2918,0.0009818796433603166,0.9632239301364706,-0.01627273642977027,edit,0.0010656810881779885,0.9889520498291734,-0.004824765025100382,0,2918,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34283,1579,0.0005313186966641329,0.5212236414275143,-0.2829758939789089,edit,0.0005766656745144084,0.5351457459493709,-0.2715279225742391,0,1579,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34956,4043,0.0013604315963350788,1.3345833960047122,0.12534571734647115,edit,0.0014765416859162466,1.3702306845302767,0.136793688751141,0,4043,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34817,1372,0.00046166513731677665,0.4528934997077579,-0.34400391261647023,edit,0.000501067324530569,0.46499047716436803,-0.3325559412118003,0,1372,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33900,4429,0.0014903169775335305,1.4620009549603934,0.16494765629755562,edit,0.0016175125221179955,1.5010516205254998,0.1763956277022255,0,4429,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34319,6241,0.0021000379897915472,2.0601372679855077,0.3138961585936797,edit,0.00227927199154175,2.115164408150744,0.3253441299983496,0,6241,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33879,398,0.0001339232686968492,0.13137872659160907,-0.8814749519135152,edit,0.00014535334924429042,0.13488790809870152,-0.8700269805088454,0,398,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34790,471,0.00015848708431210045,0.15547582971017054,-0.8083371168583069,edit,0.0001720136369197507,0.15962865506152865,-0.7968891454536371,0,471,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34912,6885,0.0023167379522055446,2.2727199311136395,0.3565459206057394,edit,0.0025144668581581395,2.3334252443707535,0.3679938920104093,0,6885,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34305,2075,0.0006982180465978947,0.6849519037125347,-0.1643399229390916,edit,0.0007578095469394537,0.703247259559813,-0.15289195153442176,0,2075,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34180,2194,0.0007382604309570029,0.7242334827688198,-0.1401214007485108,edit,0.0008012694679446562,0.7435780662526409,-0.12867342934384093,0,2194,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34803,3329,0.0011201772901804296,1.0988939216670015,0.040955771169464285,edit,0.001215782159885032,1.1282458443733097,0.052403742574134105,0,3329,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34173,356,0.00011979066245245809,0.11751463986586139,-0.9299080260143279,edit,0.00013001455359539543,0.12065350573652696,-0.9184600546096581,0,356,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
