SampleId,SampleName,DesignLibraryId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000096,76,1.2181140613156946e-05,0.12183576841279577,-0.9142251932807341,0,76,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000097,44,7.052239302354021e-06,0.07053649750214493,-1.151586109075338,0,44,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000098,344,5.513568909113144e-05,0.5514671622894967,-0.2584803429899953,0,344,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000099,69,1.1059193451418806e-05,0.1106140529010909,-0.9561896948242701,0,69,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000100,272,4.359566114182486e-05,0.4360438027405322,-0.36046988152732673,0,272,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000101,3336,0.0005346879616512049,5.347948992435351,0.7281872564041757,0,3336,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000102,15,2.404172489438871e-06,0.024046533239367587,-1.6189475265058442,0,15,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000103,140,2.2438943234762795e-05,0.2244343102340975,-0.6489107498832873,0,140,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000104,4702,0.0007536279363561047,7.537786619433759,0.8772438392273951,0,4702,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000105,209,3.34981366861816e-05,0.3350483631351884,-0.4748924994504714,0,209,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000106,28,4.487788646952559e-06,0.04488686204681949,-1.3478807542193063,0,28,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
